Position,Title,Rating,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross
1,The Shawshank Redemption(1994),9.3,"$25,000,000 ","$727,327 ","$28,699,976 ","$28,817,291 "
2,The Godfather(1972),9.2,"$6,000,000 ","$302,393 ","$134,966,411 ","$246,120,986 "
4,The Dark Knight(2008),9,"$185,000,000 ","$158,411,483 ","$534,858,444 ","$1,005,973,645 "
3,The Godfather: Part II(1974),9,"$13,000,000 ","$171,417 ","$47,834,595 ","$48,035,783 "
5,12 Angry Men(1957),9,"$350,000 ",,,$955 
7,The Lord of the Rings: The Return of the King(2003),8.9,"$94,000,000 ","$72,629,713 ","$377,845,905 ","$1,142,623,460 "
8,Pulp Fiction(1994),8.9,"$8,000,000 ","$9,311,882 ","$107,928,762 ","$213,928,762 "
6,Schindler's List(1993),8.9,"$22,000,000 ","$656,636 ","$96,898,818 ","$322,161,245 "
10,The Lord of the Rings: The Fellowship of the Ring(2001),8.8,"$93,000,000 ","$47,211,490 ","$315,710,750 ","$896,702,661 "
12,Forrest Gump(1994),8.8,"$55,000,000 ","$24,450,602 ","$330,455,270 ","$678,226,133 "
11,Fight Club(1999),8.8,"$63,000,000 ","$11,035,485 ","$37,030,102 ","$101,209,593 "
13,Inception(2010),8.8,"$160,000,000 ","$62,785,337 ","$292,576,195 ","$836,836,967 "
9,"Il buono, il brutto, il cattivo(1966)",8.8,"$1,200,000 ",,"$25,100,000 ","$25,253,751 "
17,Goodfellas(1990),8.7,"$25,000,000 ","$6,368,901 ","$46,836,214 ","$46,952,991 "
14,The Lord of the Rings: The Two Towers(2002),8.7,"$94,000,000 ","$62,007,528 ","$342,551,365 ","$947,495,095 "
15,Star Wars: Episode V - The Empire Strikes Back(1980),8.7,"$18,000,000 ","$4,910,483 ","$292,753,960 ","$538,375,067 "
16,The Matrix(1999),8.7,"$63,000,000 ","$27,788,331 ","$171,479,930 ","$466,364,845 "
18,One Flew Over the Cuckoo's Nest(1975),8.7,"$3,000,000 ",,"$108,981,275 ","$108,997,629 "
20,Se7en(1995),8.6,"$33,000,000 ","$13,949,807 ","$100,125,643 ","$327,333,559 "
19,Shichinin no samurai(1954),8.6,"JPY125,000,000","$15,942 ","$318,649 ","$322,773 "
26,Star Wars(1977),8.6,"$11,000,000 ","$1,554,475 ","$460,998,507 ","$775,398,007 "
21,La vita è bella(1997),8.6,"$20,000,000 ","$118,920 ","$57,563,264 ","$230,098,753 "
23,The Silence of the Lambs(1991),8.6,"$19,000,000 ","$13,766,814 ","$130,742,922 ","$272,742,922 "
27,The Green Mile(1999),8.6,"$60,000,000 ","$18,017,152 ","$136,801,374 ","$286,801,374 "
29,Interstellar(2014),8.6,"$165,000,000 ","$47,510,360 ","$188,020,017 ","$701,729,127 "
32,Seppuku(1962),8.6,,,,"$15,222 "
30,Gisaengchung(2019),8.6,"$11,400,000 ","$393,216 ","$53,369,749 ","$258,822,018 "
25,Saving Private Ryan(1998),8.6,"$70,000,000 ","$30,576,104 ","$217,049,603 ","$482,349,603 "
28,Sen to Chihiro no kamikakushi(2001),8.6,"$19,000,000 ","$449,839 ","$13,750,644 ","$355,475,245 "
22,Cidade de Deus(2002),8.6,"BRL3,300,000","$88,292 ","$7,564,459 ","$30,680,793 "
24,It's a Wonderful Life(1946),8.6,"$3,180,000 ","$44,000 ","$44,000 ","$6,184,298 "
49,Casablanca(1942),8.5,"$950,000 ","$181,494 ","$4,108,411 ","$4,376,287 "
37,Back to the Future(1985),8.5,"$19,000,000 ","$11,152,500 ","$211,406,762 ","$381,906,762 "
50,Nuovo Cinema Paradiso(1988),8.5,"$5,000,000 ","$16,552 ","$12,397,210 ","$13,019,063 "
44,Whiplash(2014),8.5,"$3,300,000 ","$135,388 ","$13,092,000 ","$49,396,747 "
33,The Lion King(1994),8.5,"$45,000,000 ","$1,586,753 ","$422,783,777 ","$1,083,720,877 "
31,Léon(1994),8.5,"FRF115,000,000","$5,306,558 ","$19,501,238 ","$19,552,639 "
40,Gladiator(2000),8.5,"$103,000,000 ","$34,819,017 ","$187,705,427 ","$465,364,545 "
35,The Pianist(2002),8.5,"$35,000,000 ","$111,261 ","$32,572,577 ","$120,072,577 "
38,American History X(1998),8.5,"$20,000,000 ","$156,076 ","$6,719,864 ","$23,875,127 "
48,Once Upon a Time in the West(1968),8.5,"$5,000,000 ",,"$5,321,508 ","$5,434,825 "
36,Terminator 2: Judgment Day(1991),8.5,"$102,000,000 ","$31,765,506 ","$205,881,154 ","$520,881,154 "
39,Modern Times(1936),8.5,"$1,500,000 ","$35,809 ","$163,577 ","$457,688 "
47,The Prestige(2006),8.5,"$40,000,000 ","$14,801,808 ","$53,089,891 ","$109,676,311 "
60,Hamilton(2020),8.5,,,,
242,Ratsasan(2018),8.5,,,,
41,Psycho(1960),8.5,"$806,947 ",,"$32,000,000 ","$32,040,242 "
34,The Usual Suspects(1995),8.5,"$6,000,000 ","$645,363 ","$23,341,568 ","$23,341,568 "
42,The Departed(2006),8.5,"$90,000,000 ","$26,887,467 ","$132,384,315 ","$291,465,373 "
43,City Lights(1931),8.5,"$1,500,000 ","$9,102 ","$19,181 ","$46,008 "
45,The Intouchables(2011),8.5,"EUR9,500,000","$103,507 ","$10,198,820 ","$426,588,510 "
46,Hotaru no haka(1988),8.5,"$3,700,000 ","$158,101 ","$516,962 ","$516,962 "
55,The Great Dictator(1940),8.4,"$2,000,000 ",,,"$969,879 "
72,Once Upon a Time in America(1984),8.4,"$30,000,000 ","$2,412,014 ","$5,321,508 ","$5,472,914 "
83,3 Idiots(2009),8.4,"INR550,000,000","$1,645,502 ","$6,532,874 ","$60,262,836 "
64,Avengers: Infinity War(2018),8.4,"$321,000,000 ","$257,698,183 ","$678,815,482 ","$2,048,359,754 "
56,Raiders of the Lost Ark(1981),8.4,"$18,000,000 ","$8,305,823 ","$248,159,971 ","$389,925,971 "
68,Oldeuboi(2003),8.4,"$3,000,000 ","$68,957 ","$707,481 ","$15,002,116 "
71,The Dark Knight Rises(2012),8.4,"$250,000,000 ","$160,887,295 ","$448,139,099 ","$1,081,142,612 "
58,The Lives of Others(2006),8.4,"$2,000,000 ","$223,000 ","$11,286,112 ","$77,356,942 "
76,Avengers: Endgame(2019),8.4,"$356,000,000 ","$357,115,007 ","$858,373,000 ","$2,797,501,328 "
63,The Shining(1980),8.4,"$19,000,000 ","$622,337 ","$45,332,952 ","$46,998,772 "
